,age,education_num,marital_status,race,sex,capital_gain,capital_loss,hours_per_work,label,occupation_blueCollar,occupation_other,occupation_professional,occupation_sales,occupation_whiteCollar
3455,39,10,0,1,1,0,0,40,<=50K,1,0,0,0,0
3457,21,10,0,1,0,0,0,25,<=50K,0,0,1,0,0
3458,35,13,1,1,1,0,0,40,<=50K,0,0,0,1,0
3460,38,9,1,1,1,0,0,40,>50K,1,0,0,0,0
3462,31,9,1,1,1,0,0,55,<=50K,1,0,0,0,0
3463,17,7,0,1,1,0,0,20,<=50K,0,0,1,0,0
3464,31,13,1,1,1,7298,0,50,>50K,0,1,0,0,0
3465,25,13,0,1,1,0,0,40,<=50K,0,0,1,0,0
3466,39,14,1,1,1,0,0,55,>50K,0,0,0,0,1
3467,50,4,1,1,1,0,0,40,<=50K,1,0,0,0,0
3468,38,13,1,1,0,0,0,20,>50K,0,0,1,0,0
3469,50,10,1,1,1,0,0,60,<=50K,0,0,0,1,0
3470,63,6,1,1,1,0,0,40,<=50K,0,0,0,0,1
3471,31,9,1,1,1,0,0,50,<=50K,1,0,0,0,0
3472,23,13,0,1,0,0,0,40,<=50K,0,0,1,0,0
3473,18,10,0,1,1,0,0,20,<=50K,0,1,0,0,0
3474,43,13,1,1,0,0,0,48,<=50K,0,0,1,0,0
3475,34,10,1,1,1,0,0,50,>50K,0,0,0,0,1
3476,18,7,0,1,1,0,0,35,<=50K,0,0,0,1,0
3477,46,9,1,0,1,4386,0,40,>50K,1,0,0,0,0
3478,35,13,0,1,0,0,0,40,>50K,0,0,0,1,0
3479,46,14,0,1,0,0,0,38,<=50K,0,0,0,0,1
3480,59,11,1,1,1,7298,0,40,>50K,0,1,0,0,0
3481,31,4,0,1,0,0,0,30,<=50K,1,0,0,0,0
3482,27,9,1,1,0,0,0,37,<=50K,0,0,0,1,0
3483,41,14,1,1,1,0,0,40,<=50K,0,0,1,0,0
3485,55,13,1,1,1,0,0,40,>50K,0,0,0,0,1
3487,44,9,0,1,0,0,0,40,<=50K,1,0,0,0,0
3488,26,13,0,1,0,0,1669,50,<=50K,0,0,0,0,1
3489,36,11,1,1,0,0,0,40,>50K,0,0,1,0,0
3490,69,5,1,1,1,1424,0,35,<=50K,0,1,0,0,0
3491,33,10,0,1,0,0,0,40,<=50K,0,1,0,0,0
3492,30,11,1,1,1,0,0,40,<=50K,0,0,1,0,0
3493,35,9,1,1,0,0,0,16,>50K,0,1,0,0,0
3494,25,13,0,1,0,0,0,40,>50K,0,0,0,0,1
3496,18,7,0,0,1,0,0,15,<=50K,0,1,0,0,0
3497,35,10,1,1,1,0,0,60,>50K,1,0,0,0,0
3498,20,9,1,1,1,0,0,50,<=50K,1,0,0,0,0
3499,26,14,1,1,1,5013,0,40,<=50K,0,0,1,0,0
3500,46,13,1,1,1,0,0,40,<=50K,0,1,0,0,0
3501,31,13,0,1,0,0,0,36,<=50K,0,0,1,0,0
3502,40,15,1,1,1,5178,0,40,>50K,1,0,0,0,0
3503,40,9,1,1,0,0,625,52,<=50K,0,0,0,0,1
3504,31,13,0,1,0,0,0,40,<=50K,0,0,0,0,1
3505,32,16,1,1,1,0,0,40,<=50K,0,0,0,0,1
3506,23,10,1,1,1,0,0,40,<=50K,0,1,0,0,0
3507,25,14,0,1,1,0,0,40,<=50K,0,1,0,0,0
3508,37,10,1,1,1,0,0,50,<=50K,1,0,0,0,0
3509,18,10,0,1,0,0,0,20,<=50K,0,0,0,1,0
3510,55,9,1,1,0,0,0,38,<=50K,0,0,0,1,0
3511,52,5,1,1,0,0,0,40,<=50K,1,0,0,0,0
3512,26,9,0,1,0,0,0,40,<=50K,0,1,0,0,0
3513,37,10,0,1,1,0,0,40,>50K,0,1,0,0,0
3514,39,9,1,1,0,0,0,45,<=50K,0,0,0,0,1
3515,62,13,1,1,0,0,0,40,>50K,0,0,1,0,0
3517,47,9,1,1,1,0,0,45,>50K,1,0,0,0,0
3518,51,13,1,1,1,0,0,40,>50K,0,1,0,0,0
3519,55,9,1,1,0,0,0,40,<=50K,0,1,0,0,0
3520,30,9,1,1,1,0,0,35,<=50K,1,0,0,0,0
3521,59,10,1,1,1,0,0,36,<=50K,1,0,0,0,0
3522,45,6,1,1,1,0,0,65,<=50K,1,0,0,0,0
3523,52,10,1,1,1,15024,0,45,>50K,0,0,0,0,1
3524,21,9,0,1,1,0,0,20,<=50K,1,0,0,0,0
3525,31,9,1,1,1,0,0,55,<=50K,1,0,0,0,0
3526,29,10,0,0,1,0,0,40,<=50K,0,1,0,0,0
3527,24,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
3528,17,6,0,1,1,0,0,24,<=50K,0,1,0,0,0
3529,47,9,1,0,0,0,0,40,<=50K,1,0,0,0,0
3530,46,10,1,1,1,0,0,50,>50K,0,0,0,1,0
3533,63,8,1,1,1,0,0,40,<=50K,1,0,0,0,0
3534,21,10,0,1,1,0,0,25,<=50K,0,1,0,0,0
3535,18,9,0,0,1,0,0,36,<=50K,0,1,0,0,0
3536,49,16,1,1,1,0,0,50,>50K,0,0,0,0,1
3537,81,9,1,1,0,0,0,20,<=50K,0,1,0,0,0
3538,36,12,1,1,1,0,0,40,>50K,0,0,0,0,1
3539,47,9,1,1,1,0,0,40,>50K,1,0,0,0,0
3540,36,14,1,1,1,0,0,50,>50K,0,0,0,1,0
3541,39,11,1,1,1,0,0,60,<=50K,1,0,0,0,0
3542,46,13,0,1,0,0,0,35,<=50K,0,0,0,1,0
3543,43,10,1,1,0,0,1902,40,>50K,0,1,0,0,0
3544,39,13,1,1,0,0,0,35,<=50K,0,1,0,0,0
3545,29,10,1,1,0,0,0,40,<=50K,0,0,0,1,0
3546,23,9,0,0,0,0,0,16,<=50K,1,0,0,0,0
3547,57,6,1,1,1,0,0,43,<=50K,1,0,0,0,0
3548,38,9,0,0,0,0,0,42,<=50K,0,0,0,1,0
3549,25,13,0,1,0,0,0,40,<=50K,0,0,0,1,0
3550,39,10,1,1,1,0,0,40,<=50K,0,0,0,0,1
3551,24,10,0,0,1,0,0,40,<=50K,0,0,0,1,0
3552,56,14,1,1,1,0,1977,44,>50K,1,0,0,0,0
3553,39,8,1,1,0,0,0,40,<=50K,0,0,0,1,0
3554,23,11,0,1,0,0,0,60,<=50K,0,0,0,1,0
3556,67,9,1,1,0,3273,0,16,<=50K,0,0,0,0,1
3557,41,13,0,0,1,0,0,50,<=50K,0,1,0,0,0
3558,24,13,0,1,0,0,0,50,<=50K,0,0,1,0,0
3559,51,13,1,0,1,10520,0,40,>50K,0,0,0,0,1
3560,30,9,1,1,0,0,0,60,<=50K,0,1,0,0,0
3561,47,9,1,1,1,15024,0,40,>50K,1,0,0,0,0
3562,56,9,0,1,1,0,0,32,<=50K,1,0,0,0,0
3563,51,9,1,1,1,0,0,38,<=50K,1,0,0,0,0
3564,57,10,1,1,1,0,0,55,<=50K,0,0,0,0,1
3565,34,10,1,1,0,0,0,40,<=50K,0,1,0,0,0
3566,24,13,0,1,1,0,0,40,<=50K,0,0,1,0,0
3567,57,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
3568,38,9,1,1,1,0,0,40,>50K,1,0,0,0,0
3569,23,9,0,1,0,0,0,40,<=50K,0,1,0,0,0
3570,35,4,1,1,1,0,0,40,<=50K,1,0,0,0,0
3571,58,9,1,1,1,0,0,52,<=50K,1,0,0,0,0
3574,68,16,1,1,1,0,2377,60,>50K,0,0,1,0,0
3575,43,10,1,1,1,0,1902,40,>50K,0,0,0,0,1
3576,17,7,0,1,0,0,0,20,<=50K,0,1,0,0,0
3577,53,16,1,1,1,7688,0,50,>50K,0,0,1,0,0
3578,37,16,1,0,1,0,0,99,>50K,0,0,1,0,0
3580,63,9,1,1,1,0,0,40,>50K,1,0,0,0,0
3581,31,10,1,1,1,0,0,50,<=50K,1,0,0,0,0
3582,29,9,1,1,1,0,0,40,<=50K,0,1,0,0,0
3583,43,10,1,1,1,0,1887,40,>50K,0,1,0,0,0
3584,27,15,0,1,0,0,0,65,>50K,0,0,1,0,0
3585,25,9,0,1,1,0,0,32,<=50K,0,1,0,0,0
3586,28,9,0,1,0,0,0,40,<=50K,0,0,1,0,0
3587,54,9,1,1,0,0,0,35,<=50K,0,0,0,1,0
3589,31,10,0,0,0,0,0,32,<=50K,0,0,0,0,1
3590,23,10,0,1,1,0,0,48,<=50K,0,1,0,0,0
3591,19,13,0,1,0,0,0,30,<=50K,0,0,1,0,0
3593,61,9,1,1,0,22040,0,40,<=50K,1,0,0,0,0
3595,27,11,1,1,0,0,0,36,>50K,0,1,0,0,0
3596,19,10,0,0,0,0,0,20,<=50K,0,1,0,0,0
3598,25,9,1,0,0,0,0,35,<=50K,0,1,0,0,0
3599,40,10,1,1,1,0,0,48,>50K,0,1,0,0,0
3600,53,7,1,1,0,0,0,37,<=50K,0,1,0,0,0
3601,32,13,0,1,1,0,0,45,<=50K,0,0,1,0,0
3602,72,16,1,1,1,0,2392,25,>50K,0,0,1,0,0
3603,61,4,1,1,1,0,0,40,<=50K,1,0,0,0,0
3604,42,9,1,1,1,0,0,40,<=50K,0,0,0,1,0
3605,17,6,0,0,0,1055,0,20,<=50K,0,1,0,0,0
3606,73,9,1,1,1,0,0,16,<=50K,1,0,0,0,0
3607,41,10,1,1,1,0,0,40,<=50K,1,0,0,0,0
3608,23,10,0,0,0,0,0,20,<=50K,1,0,0,0,0
3609,23,9,0,1,0,0,0,40,<=50K,0,0,1,0,0
3610,65,11,1,1,1,0,0,15,<=50K,0,1,0,0,0
3611,45,9,1,1,0,0,0,50,<=50K,0,0,0,1,0
3612,52,13,1,0,1,7688,0,40,>50K,0,1,0,0,0
3613,24,13,0,0,0,0,0,27,<=50K,0,1,0,0,0
3614,23,11,1,1,1,0,0,40,<=50K,1,0,0,0,0
3615,30,10,1,1,0,0,0,40,<=50K,0,1,0,0,0
3616,26,13,0,1,1,0,0,40,<=50K,0,0,0,0,1
3617,37,9,1,1,1,0,0,56,<=50K,1,0,0,0,0
3618,17,9,0,1,1,0,0,40,<=50K,0,1,0,0,0
3619,31,9,1,1,1,0,0,40,<=50K,0,0,0,1,0
3620,52,9,1,1,0,0,0,40,<=50K,0,1,0,0,0
3621,63,13,0,1,1,0,0,27,<=50K,0,0,0,1,0
3622,27,9,0,1,0,0,0,60,<=50K,0,1,0,0,0
3623,31,5,1,1,1,3137,0,40,<=50K,1,0,0,0,0
3624,71,9,1,1,0,0,0,35,<=50K,0,1,0,0,0
3625,35,13,1,1,1,0,0,60,<=50K,0,0,0,0,1
3626,44,9,1,1,0,0,0,38,<=50K,0,1,0,0,0
3627,36,14,1,0,1,0,0,40,<=50K,0,0,1,0,0
3628,22,13,0,1,0,0,0,20,<=50K,0,0,0,0,1
3629,32,9,1,1,1,0,1485,48,<=50K,0,0,1,0,0
3630,30,13,1,1,0,0,0,40,<=50K,0,0,1,0,0
3632,25,10,0,1,0,0,0,40,<=50K,0,1,0,0,0
3633,76,4,1,1,0,0,0,12,<=50K,0,1,0,0,0
3634,41,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
3635,26,4,1,0,1,0,0,40,<=50K,1,0,0,0,0
3637,32,10,1,1,0,0,0,40,<=50K,0,1,0,0,0
3638,22,9,0,1,1,0,0,40,<=50K,1,0,0,0,0
3639,39,13,1,1,1,0,1848,40,>50K,0,0,0,1,0
3640,63,13,0,1,1,0,0,40,<=50K,1,0,0,0,0
3641,23,12,0,1,0,0,0,40,<=50K,1,0,0,0,0
3642,61,6,1,1,1,0,0,40,<=50K,1,0,0,0,0
3643,31,11,1,1,1,0,0,40,<=50K,1,0,0,0,0
3644,25,5,1,1,1,0,0,45,<=50K,1,0,0,0,0
3645,33,9,0,1,0,1055,0,40,<=50K,0,1,0,0,0
3646,39,9,1,1,0,0,0,36,<=50K,0,0,0,1,0
3647,53,13,1,0,0,0,0,40,<=50K,1,0,0,0,0
3648,26,13,0,1,0,0,0,40,<=50K,0,0,0,0,1
3649,21,10,0,1,1,0,0,32,<=50K,0,1,0,0,0
3650,18,9,0,0,1,0,0,40,<=50K,0,1,0,0,0
3651,34,13,1,1,1,15024,0,60,>50K,0,0,0,0,1
3652,44,14,1,0,1,7688,0,40,>50K,0,0,1,0,0
3653,31,9,1,1,1,0,0,50,<=50K,1,0,0,0,0
3654,44,9,1,1,1,0,0,40,>50K,1,0,0,0,0
3655,42,15,1,1,1,0,1902,60,>50K,0,0,1,0,0
3656,43,9,1,1,1,0,0,44,<=50K,1,0,0,0,0
3657,33,13,1,0,1,7688,0,38,>50K,0,1,0,0,0
3658,21,10,0,0,0,0,0,30,<=50K,0,0,0,1,0
3659,30,9,1,1,1,0,0,40,>50K,1,0,0,0,0
3660,55,9,1,1,1,0,0,60,<=50K,1,0,0,0,0
3661,57,10,0,1,0,0,0,40,<=50K,0,1,0,0,0
3662,37,9,0,1,1,0,0,50,<=50K,1,0,0,0,0
3663,32,9,1,1,1,0,0,40,>50K,1,0,0,0,0
3664,62,13,1,1,1,0,0,60,>50K,0,0,1,0,0
3665,31,13,0,0,1,0,0,40,>50K,0,0,0,1,0
3666,51,13,1,1,1,0,0,50,>50K,0,0,0,0,1
3667,37,14,1,1,0,0,213,45,<=50K,0,0,0,0,1
3668,45,3,1,1,1,0,0,38,<=50K,1,0,0,0,0
3669,47,10,1,1,1,0,0,40,<=50K,1,0,0,0,0
3671,75,7,1,1,1,0,0,30,<=50K,0,0,0,0,1
3672,43,14,1,0,1,0,0,50,<=50K,0,0,1,0,0
3673,39,12,1,1,1,7688,0,60,>50K,1,0,0,0,0
3674,30,13,1,1,1,0,0,40,>50K,0,0,1,0,0
3675,27,3,0,1,1,0,0,40,<=50K,1,0,0,0,0
3676,44,9,1,0,1,0,0,40,<=50K,1,0,0,0,0
3677,53,14,1,1,0,0,0,35,>50K,0,0,1,0,0
3678,40,13,1,1,1,0,0,40,<=50K,0,1,0,0,0
3679,18,7,0,1,0,0,0,20,<=50K,0,0,0,1,0
3680,33,13,1,0,1,0,0,40,<=50K,0,1,0,0,0
3681,20,9,0,1,1,0,0,40,<=50K,0,0,0,1,0
3682,38,10,1,0,1,0,0,50,<=50K,0,0,0,0,1
3683,48,9,1,1,0,0,0,35,<=50K,0,1,0,0,0
3684,46,9,1,1,1,0,0,40,<=50K,0,0,0,0,1
3685,51,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
3686,35,9,0,1,0,0,0,30,<=50K,0,1,0,0,0
3687,24,4,0,1,1,0,0,40,<=50K,1,0,0,0,0
3688,30,10,1,1,1,0,0,50,<=50K,1,0,0,0,0
3689,70,9,1,1,1,0,0,30,<=50K,0,0,0,0,1
3690,26,9,1,1,1,0,0,44,<=50K,1,0,0,0,0
3691,34,9,1,1,1,0,1672,40,<=50K,1,0,0,0,0
3692,46,9,1,1,1,0,0,40,>50K,1,0,0,0,0
3693,70,9,1,1,0,0,0,5,<=50K,0,1,0,0,0
3694,37,10,1,1,1,0,0,40,<=50K,0,1,0,0,0
3695,36,10,1,1,0,0,0,35,<=50K,0,0,0,1,0
3696,23,5,0,1,0,0,0,40,<=50K,1,0,0,0,0
3697,28,9,1,1,1,0,1628,40,<=50K,0,0,0,1,0
3698,44,10,1,1,1,0,0,50,>50K,0,0,0,0,1
3699,58,9,1,1,1,3325,0,30,<=50K,1,0,0,0,0
3700,53,10,1,1,1,0,0,60,>50K,0,0,0,0,1
3701,23,10,1,1,1,0,0,40,<=50K,1,0,0,0,0
3702,26,9,0,0,1,0,0,40,<=50K,1,0,0,0,0
3704,34,14,1,1,0,0,0,50,<=50K,0,0,1,0,0
3705,43,7,1,1,1,0,0,40,<=50K,1,0,0,0,0
3706,22,10,0,0,1,0,0,20,<=50K,0,1,0,0,0
3707,41,10,1,0,1,7298,0,50,>50K,1,0,0,0,0
3708,36,9,1,0,1,0,0,40,<=50K,0,1,0,0,0
3709,41,13,1,1,0,0,1740,20,<=50K,0,0,1,0,0
3710,27,9,0,1,1,4416,0,40,<=50K,0,1,0,0,0
3711,42,10,1,1,1,0,0,60,<=50K,1,0,0,0,0
3712,27,11,0,1,0,0,0,35,<=50K,0,1,0,0,0
3713,41,9,1,1,1,0,0,40,<=50K,0,1,0,0,0
3714,32,13,1,0,0,0,0,40,>50K,0,0,0,0,1
3715,21,10,0,0,1,0,0,20,<=50K,0,1,0,0,0
3716,44,13,1,0,1,0,0,50,>50K,0,0,0,0,1
3717,29,13,0,1,1,0,0,40,<=50K,0,0,0,0,1
3718,19,10,0,1,0,0,0,22,<=50K,0,1,0,0,0
3719,21,10,0,1,1,0,0,40,<=50K,0,1,0,0,0
3720,46,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
3721,38,13,1,1,1,0,0,55,>50K,0,0,0,0,1
3722,43,10,0,1,1,0,0,48,>50K,0,1,0,0,0
3723,54,9,1,1,1,0,0,50,>50K,0,0,0,1,0
3724,38,14,1,1,1,0,1977,60,>50K,0,0,0,0,1
3726,50,9,1,1,0,0,0,40,>50K,0,1,0,0,0
3727,30,11,1,1,0,0,0,36,>50K,0,0,1,0,0
3728,30,5,1,1,1,0,0,40,<=50K,1,0,0,0,0
3729,28,9,0,0,0,0,0,35,<=50K,0,0,0,0,1
3730,26,11,0,1,0,0,0,45,<=50K,0,1,0,0,0
3731,37,10,1,1,1,0,0,43,<=50K,1,0,0,0,0
3732,32,9,1,1,1,5178,0,50,>50K,1,0,0,0,0
3733,64,14,1,1,0,0,0,5,>50K,0,0,1,0,0
3734,18,9,0,1,0,0,0,28,<=50K,0,0,0,1,0
3735,30,10,1,1,1,0,0,30,<=50K,0,1,0,0,0
3737,18,7,0,0,1,0,0,30,<=50K,0,1,0,0,0
3738,27,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
3739,49,5,1,1,1,0,0,40,<=50K,0,1,0,0,0
3740,46,9,1,1,1,0,0,43,>50K,0,1,0,0,0
3741,37,9,1,1,1,0,0,40,<=50K,0,1,0,0,0
3742,30,10,1,1,1,0,0,40,<=50K,1,0,0,0,0
3743,29,9,1,0,0,0,0,30,<=50K,0,0,1,0,0
3745,25,9,1,1,1,0,0,30,<=50K,1,0,0,0,0
3746,38,9,1,0,0,0,0,30,<=50K,0,1,0,0,0
3748,35,10,1,1,1,0,0,50,<=50K,1,0,0,0,0
3749,56,14,1,1,1,0,0,80,>50K,0,1,0,0,0
3750,29,10,1,1,0,0,0,40,<=50K,0,0,0,0,1
3751,41,9,1,1,1,0,0,40,<=50K,0,1,0,0,0
3752,47,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
3753,23,13,0,0,0,0,0,40,<=50K,0,1,0,0,0
3754,46,13,1,1,1,0,0,45,>50K,0,0,0,1,0
3755,28,9,0,0,1,0,1876,40,<=50K,0,1,0,0,0
3756,39,13,1,1,0,0,0,20,<=50K,0,1,0,0,0
3757,42,10,1,1,0,0,0,50,<=50K,1,0,0,0,0
3758,39,9,1,1,1,7298,0,48,>50K,1,0,0,0,0
3760,37,13,1,1,1,15024,0,55,>50K,1,0,0,0,0
3761,57,15,0,1,0,0,0,40,<=50K,0,0,1,0,0
3762,22,10,0,0,0,0,0,30,<=50K,0,1,0,0,0
3763,24,11,0,1,1,0,0,30,>50K,0,1,0,0,0
3764,19,10,0,1,1,0,0,50,<=50K,1,0,0,0,0
3765,55,12,1,0,0,0,0,30,<=50K,0,0,0,1,0
3766,37,9,1,1,1,0,0,40,<=50K,0,1,0,0,0
3767,37,10,0,0,0,0,0,40,<=50K,0,1,0,0,0
3768,28,13,1,1,1,0,0,50,<=50K,0,1,0,0,0
3769,27,9,0,1,0,0,0,40,<=50K,0,1,0,0,0
3770,40,13,0,1,0,0,0,20,<=50K,0,0,1,0,0
3771,51,9,1,1,0,0,0,40,<=50K,0,1,0,0,0
3772,52,11,1,1,1,0,0,56,<=50K,1,0,0,0,0
3774,49,10,1,1,1,15024,0,50,>50K,0,0,0,0,1
3776,40,10,1,1,0,0,0,50,<=50K,0,1,0,0,0
3777,80,10,0,1,1,0,1816,60,<=50K,0,0,1,0,0
3778,63,10,1,1,1,0,0,40,<=50K,0,1,0,0,0
3779,63,9,1,1,1,0,0,45,>50K,1,0,0,0,0
3780,51,10,1,1,0,0,0,40,<=50K,0,1,0,0,0
3781,23,9,0,1,0,0,0,40,<=50K,0,1,0,0,0
3782,66,9,1,1,1,0,0,20,<=50K,1,0,0,0,0
3783,33,9,1,1,1,0,0,66,<=50K,0,0,0,1,0
3784,49,9,1,1,1,0,0,43,<=50K,1,0,0,0,0
3785,20,10,0,1,1,0,0,32,<=50K,1,0,0,0,0
3786,33,12,1,1,1,0,1887,60,>50K,0,0,0,0,1
3787,26,10,1,1,1,0,0,40,<=50K,0,1,0,0,0
3788,52,9,1,1,1,0,0,50,>50K,0,0,0,0,1
3789,33,13,1,1,1,0,0,50,>50K,0,0,0,0,1
3790,47,13,1,1,1,0,0,45,<=50K,0,0,0,1,0
3791,23,9,0,0,1,0,0,75,<=50K,0,0,0,0,1
3792,53,12,1,1,1,0,0,40,<=50K,0,1,0,0,0
3793,19,10,0,1,1,0,0,20,<=50K,0,1,0,0,0
3794,26,10,0,1,1,3325,0,40,<=50K,1,0,0,0,0
3795,53,4,1,1,1,0,0,60,>50K,1,0,0,0,0
3796,65,9,0,1,1,0,0,10,<=50K,1,0,0,0,0
3797,68,13,1,1,1,0,0,30,<=50K,1,0,0,0,0
3798,30,6,0,1,1,0,0,18,<=50K,0,0,0,1,0
3799,28,7,1,1,1,0,0,45,<=50K,1,0,0,0,0
3800,54,6,1,1,1,0,0,45,<=50K,0,1,0,0,0
3801,30,9,0,1,1,0,0,10,<=50K,0,1,0,0,0
3802,22,10,0,1,1,0,0,50,<=50K,0,1,0,0,0
3803,25,9,0,1,1,0,0,30,<=50K,0,1,0,0,0
3804,19,7,0,1,1,0,0,20,<=50K,0,1,0,0,0
3806,32,15,1,1,1,0,0,40,>50K,0,0,1,0,0
3807,23,13,0,1,0,0,0,40,<=50K,0,0,0,0,1
3808,51,13,1,1,1,0,0,45,<=50K,0,0,1,0,0
3809,25,10,1,1,1,0,0,44,>50K,0,0,0,1,0
3810,46,13,0,0,0,0,0,40,<=50K,0,0,1,0,0
3811,38,10,1,1,0,0,0,50,<=50K,0,1,0,0,0
3812,26,9,1,0,1,0,0,40,>50K,0,1,0,0,0
3813,46,9,1,1,0,0,0,40,<=50K,0,0,1,0,0
3814,25,13,0,1,0,0,0,40,<=50K,0,0,1,0,0
3815,20,10,0,1,0,594,0,16,<=50K,0,1,0,0,0
3816,29,14,1,1,1,0,0,35,<=50K,0,0,1,0,0
3817,51,14,1,1,1,0,0,50,>50K,0,0,0,0,1
3818,40,10,1,1,1,0,0,52,<=50K,1,0,0,0,0
3819,24,10,0,1,0,0,0,40,<=50K,0,1,0,0,0
3820,24,13,0,1,1,0,0,50,<=50K,1,0,0,0,0
3821,31,11,1,0,0,0,0,24,<=50K,0,1,0,0,0
3823,34,12,1,1,1,0,0,60,<=50K,1,0,0,0,0
3824,19,10,0,1,1,0,0,66,<=50K,1,0,0,0,0
3825,21,9,0,0,1,0,0,40,<=50K,1,0,0,0,0
3826,21,6,1,1,1,0,0,70,<=50K,1,0,0,0,0
3827,23,10,1,1,1,0,0,24,<=50K,1,0,0,0,0
3828,37,10,0,1,1,0,0,40,<=50K,1,0,0,0,0
3829,40,14,1,1,1,0,0,46,>50K,0,0,0,0,1
3830,57,9,1,1,1,0,0,30,<=50K,0,1,0,0,0
3831,48,13,1,1,1,0,1485,40,>50K,0,0,1,0,0
3832,24,7,1,0,1,0,0,40,<=50K,1,0,0,0,0
3833,43,10,1,1,1,0,0,40,<=50K,0,0,1,0,0
3835,40,9,0,1,0,0,0,40,<=50K,0,1,0,0,0
3836,52,15,1,1,1,99999,0,35,>50K,0,0,1,0,0
3837,49,9,1,1,1,0,0,40,<=50K,0,0,0,0,1
3838,45,10,1,0,1,3137,0,40,<=50K,0,0,0,0,1
3839,62,9,0,1,1,0,0,40,<=50K,1,0,0,0,0
3840,29,11,1,1,1,0,0,40,<=50K,0,1,0,0,0
3841,49,9,1,1,0,0,0,40,<=50K,1,0,0,0,0
3842,55,10,1,0,0,0,0,40,<=50K,0,1,0,0,0
3844,37,13,0,1,1,0,0,40,<=50K,0,0,0,0,1
3845,43,13,1,1,1,0,0,40,>50K,0,1,0,0,0
3846,29,10,1,1,0,0,0,40,<=50K,0,1,0,0,0
3847,44,9,1,1,0,0,0,40,>50K,0,0,0,1,0
3848,28,10,1,1,1,0,0,40,>50K,0,1,0,0,0
3849,38,10,0,1,0,0,0,45,<=50K,0,0,0,0,1
3850,45,11,1,1,1,0,1977,50,>50K,0,0,0,1,0
3852,19,10,0,1,0,0,0,20,<=50K,0,1,0,0,0
3853,20,8,0,1,1,0,0,40,<=50K,0,1,0,0,0
3854,60,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
3855,30,9,0,1,0,0,0,40,<=50K,0,0,0,1,0
3857,51,10,1,1,0,0,0,60,<=50K,0,0,0,1,0
3859,48,9,1,1,0,0,0,40,<=50K,0,0,0,0,1
3860,43,13,1,1,1,0,1887,40,>50K,0,0,0,1,0
3861,51,9,1,0,1,0,0,40,<=50K,1,0,0,0,0
3862,41,11,1,1,1,0,1848,48,>50K,0,1,0,0,0
3864,50,9,1,0,1,0,0,40,>50K,1,0,0,0,0
3865,46,9,1,1,0,0,0,40,>50K,0,0,0,1,0
3866,54,10,1,1,1,15024,0,60,>50K,1,0,0,0,0
3867,68,9,1,1,1,0,0,45,>50K,1,0,0,0,0
3868,23,12,0,1,1,0,0,30,<=50K,1,0,0,0,0
3869,49,14,0,1,0,0,0,35,<=50K,0,0,0,1,0
3870,24,6,1,1,1,0,0,40,<=50K,1,0,0,0,0
3871,30,9,1,0,1,0,0,40,<=50K,0,1,0,0,0
3872,38,9,1,1,1,3137,0,45,<=50K,1,0,0,0,0
3873,34,9,0,1,0,0,0,35,<=50K,0,0,0,1,0
3874,22,10,0,1,1,0,0,40,<=50K,0,0,0,0,1
3875,30,4,1,1,1,0,0,40,<=50K,1,0,0,0,0
3876,61,4,1,1,1,0,0,31,<=50K,1,0,0,0,0
3877,36,9,1,1,1,0,0,40,<=50K,0,0,0,0,1
3878,51,11,1,1,1,0,0,40,<=50K,0,0,0,0,1
3879,43,3,1,0,0,0,0,40,>50K,1,0,0,0,0
3880,54,10,1,1,1,0,0,48,>50K,0,1,0,0,0
3881,63,9,1,1,0,0,0,25,<=50K,0,0,1,0,0
3882,51,10,1,1,1,0,0,40,>50K,0,0,0,0,1
3883,63,6,1,1,1,0,0,40,<=50K,1,0,0,0,0
3884,51,14,1,1,1,0,0,60,>50K,0,0,1,0,0
3885,27,9,1,1,0,0,0,35,<=50K,0,0,0,1,0
3886,35,12,1,1,1,0,0,40,>50K,0,1,0,0,0
3888,46,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
3889,53,11,1,0,1,0,0,40,>50K,1,0,0,0,0
3890,26,10,1,1,1,0,0,24,<=50K,0,1,0,0,0
3891,43,9,0,1,1,0,0,40,<=50K,1,0,0,0,0
3892,39,9,1,1,1,15024,0,50,>50K,0,0,0,1,0
3893,50,9,1,1,1,0,1590,40,<=50K,0,0,1,0,0
3894,54,9,1,1,1,0,0,40,>50K,0,1,0,0,0
3896,57,10,1,1,0,0,0,40,<=50K,0,0,1,0,0
3898,29,9,0,1,1,0,0,20,<=50K,0,1,0,0,0
3899,20,9,0,0,1,0,0,40,<=50K,1,0,0,0,0
3900,53,13,1,1,1,0,1902,55,>50K,0,0,0,0,1
3903,23,9,0,1,1,0,0,40,<=50K,0,1,0,0,0
3904,69,7,1,1,1,0,0,20,<=50K,0,1,0,0,0
3905,56,4,1,1,1,0,2002,40,<=50K,1,0,0,0,0
